제조사,정규화제품키,원본품목번호,분류후보,원본품목명,검토상태
광동제약,광동옥수수수염차,10043|80068,음료 > 과채음료 > 과일음료|음료 > 차음료 > 일반차음료,광동)옥수수수염차500ML|광동옥수수수염차1.5L,pending
광동제약,광동탐라는제주감귤,80065|90022,음료 > 과채음료 > 과일음료|음료 > 커피음료 > 커피음료,광동탐라는제주감귤1.5L|광동탐라는제주감귤500ML,pending
광동제약,광동힘찬하루헛개차,10130|50044,음료 > 과채음료 > 과일음료|음료 > 차음료 > 일반차음료,광동힘찬하루헛개차1.5L|광동힘찬하루헛개차500ML,pending
그래미,여명808,20140|65808,음료 > 과채음료 > 어린이음료|음료 > 기능성음료 > 비타민/에너지음료,그래미여명808 140ML|주식회사그래미)여명808(140ML2개입),pending
깃듬,처음먹는아이김스낵,35275|45280,과자 > 스낵 > 쌀과자|과자 > 스낵 > 쌀스낵,깃듬)처음먹는아이김스낵-양파맛20G|깃듬)처음먹는아이김스낵오리지널20G,pending
깨끗한나라,깨끗한나라라인프렌즈물티슈,45511|45654,생활용품 > 위생용품 > 티슈|홈클린 > 화장지 > 물티슈,깨끗한나라)깨끗한나라라인프렌즈물티슈|깨끗한나라)깨끗한나라라인프렌즈물티슈58G,pending
꽃샘식품,꽃샘별난알맹이,15018|35018,커피차 > 분말차 > 아이스티|커피차 > 액상차 > 기타,꽃샘 별난알맹이레몬 500G|꽃샘 별난알맹이자몽 500G,pending
남양유업,남양채움오렌지,15123|35209,음료 > 과채음료 > 과일음료|음료 > 우유 > 가공우유,남양 채움오렌지 730ML|남양)채움오렌지210ML,pending
남양유업,채움포도,25186|35206,음료 > 과채음료 > 과일음료|음료 > 커피음료 > 커피음료,남양유업)채움포도210ML|남양유업)채움포도730ML,pending
니베아,익스프레스바디로션,50227|55140,생활용품 > 기타 > 기타|이/미용 > 위생용품 > 바디보습,니베아익스프레스바디로션,pending
다인인터내셔널,게리크래커,25673|55690,과자 > 비스킷 > 샌드|과자 > 비스킷 > 크래커,다인인터내셔널 게리초코크래커 110G|다인인터내셔널게리치즈크래커,pending
대웅생명과학,글램디4킬로칼로리곤약워터젤리복숭아맛,15954|55930,상온HMR > 과채음료 > 파우치음료|음료 > 기능성음료 > 기타기능성음료,대웅생명과학 글램디4킬로칼로리곤약워터젤리복숭아맛150G|대웅생명과학)글램디4킬로칼로리곤약워터젤리복숭아맛,pending
델몬트,망고드링크,55685|55717,음료 > 전통주 > 일본술|음료 > 탄산음료 > 콜라,델몬트망고드링크(1개)|델몬트망고드링크(4개),pending
델몬트,토마토,20152|80058,음료 > 차음료 > 전통차음료|음료 > 커피음료 > 커피음료,델몬트)토마토180ML|델몬트토마토1.5L,pending
동서식품,동서보리차,35011|60138|60171,음료 > 기능성음료 > 숙취해소음료|커피차 > 분말차 > 보리차,동서 보리차 500ML|동서)보리차150G|동서)보리차300G,pending
동서식품,동서스타벅스파이크플레이스로스트블랙커피,15339|25333,음료 > 커피음료 > 커피음료|커피차 > 액상차 > 커피,동서 스타벅스 파이크 플레이스로스트 스위트블랙커피 275ML|동서 스타벅스 파이크플레이스로스트블랙커피 200ML,pending
동서음료,레드불에너지드링크,45733|45737,음료 > 기능성음료 > 비타민/에너지음료|음료 > 커피음료 > 커피음료,동서음료)레드불에너지드링크,pending
동아오츠카,동아데미소다애플,70080|90020,음료 > 과채음료 > 과일음료|음료 > 커피음료 > 커피음료,동아데미소다애플1.5L|동아데미소다애플250ML,pending
동아오츠카,동아포카리스웨트,10037|30055|70040,음료 > 기능성음료 > 스포츠음료|음료 > 탄산수 > 플레인탄산수|음료 > 탄산음료 > 사이다,동아포카리스웨트1.8L|동아포카리스웨트500ML|동아포카리스웨트620ML,pending
동아제약,가그린,10106|80140,의약외품 > 구강용품 > 구강청정제|의약외품 > 구강용품 > 치약,동아제약)가그린오리지널250ml|동아제약)가그린오리지널380ML,pending
동아제약,가그린제로,10096|15236,생활용품 > 위생용품 > 구강용품|의약외품 > 기능성음료 > 숙취해소음료,동아제약)가그린제로100ML|동아제약가그린제로,pending
동원F&B,동원리챔,10171|10172|45217|65814,통조림/안주 > 통조림 > 가미통조림|통조림/안주 > 통조림 > 보일드통조림,동원)리챔오리지날|동원)리챔트러플300G|동원리챔200G|동원리챔오리지날120G,pending
동원F&B,동원샘물,20102|90041,음료 > 생수 > 일반생수|음료 > 탄산음료 > 혼합탄산,동원샘물0.5L|동원샘물2L,pending
동원F&B,동원참치라이트스탠다드,10138|40101,통조림/안주 > 통조림 > 가미통조림|통조림/안주 > 통조림 > 보일드통조림,동원참치라이트스탠다드100G|동원참치라이트스탠다드200G,pending
롯데제과,도리토스나쵸,25197|65266,과자 > 스낵 > 옥수수스낵|소스 > 소스류 > 양념소스,도리토스나쵸치즈맛|롯데제과)도리토스나쵸치즈맛40G,pending
롯데제과,롯데abc쿠키,15033|30093,과자 > 스낵 > 밀가루스낵|과자 > 초콜렛 > 쉘초콜릿,롯데)ABC초코쿠키50G|롯데ABC초코쿠키 152G,pending
롯데제과,롯데치토스스모키,40090|90146,과자 > 스낵 > 옥수수스낵|과자 > 캔디 > 젤리,롯데치토스스모키바베큐맛82G|롯데치토스스모키바베큐맛88G,pending
롯데칠성음료,롯데게토레이,40045|80046,음료 > 과채음료 > 과일음료|음료 > 탄산음료 > 혼합탄산,롯데게토레이240ML|롯데게토레이600ML,pending
롯데칠성음료,롯데게토레이블루볼트,20034|40077,음료 > 기능성음료 > 스포츠음료|음료 > 생수 > 일반생수,롯데게토레이블루볼트1.5L|롯데게토레이블루볼트600ML,pending
롯데칠성음료,롯데델몬트망고,40025|40086|60036,음료 > 과채음료 > 과일음료|음료 > 탄산수 > Flavor탄산수,롯데델몬트망고1.8L|롯데델몬트망고240ML|롯데델몬트망고400ML,pending
롯데칠성음료,롯데델몬트알로에,60062|80030,음료 > 과채음료 > 과일음료|음료 > 과채음료 > 어린이음료,롯데델몬트알로에400ML|롯데델몬트오리지널알로에1.5L,pending
롯데칠성음료,롯데델몬트오렌지100,50042|80031,음료 > 과채음료 > 과일음료|음료 > 과채음료 > 채소음료,롯데델몬트오렌지100 1.8L|롯데델몬트오렌지100%400ML,pending
롯데칠성음료,롯데델몬트콜드수박주스,70065|80001,음료 > 생수 > 일반생수|음료 > 탄산수 > Flavor탄산수,롯데)델몬트콜드수박주스250ML|롯데델몬트콜드수박주스1L,pending
롯데칠성음료,롯데델몬트포도100,30012|80061,음료 > 생수 > 일반생수|음료 > 차음료 > 일반차음료,롯데델몬트포도100%1.5L|롯데델몬트포도100%400ML,pending
롯데칠성음료,롯데레쓰비,10018|20012,음료 > 과채음료 > 과일음료|음료 > 커피음료 > 커피음료,롯데)레쓰비190ml|롯데레쓰비175ML,pending
롯데칠성음료,롯데레쓰비마일드커피,40002|80014,음료 > 과채음료 > 과일음료|음료 > 탄산음료 > 혼합탄산,롯데레쓰비마일드커피 200ml|롯데레쓰비마일드커피240ML,pending
롯데칠성음료,롯데마운틴듀,10032|20037|20094|40007|90120,음료 > 차음료 > 일반차음료|음료 > 커피음료 > 커피음료|음료 > 탄산수 > Flavor탄산수|음료 > 탄산음료 > 혼합탄산,롯데마운틴듀1.5L|롯데마운틴듀250ML|롯데마운틴듀330ML|롯데마운틴듀355ML|롯데마운틴듀400ML,pending
롯데칠성음료,롯데밀키스,10038|10078|30017|80018,음료 > 과채음료 > 과일음료|음료 > 탄산음료 > 혼합탄산,롯데밀키스1.5L|롯데밀키스250ML|롯데밀키스340ML|롯데밀키스500ML,pending
롯데칠성음료,롯데볼빅,20057|40075,음료 > 과채음료 > 과일음료|음료 > 과채음료 > 채소음료,롯데볼빅1.5L|롯데볼빅500ML,pending
롯데칠성음료,롯데사각사각꿀배,20024|50018,음료 > 기능성음료 > 스포츠음료|음료 > 탄산수 > 플레인탄산수,롯데사각사각꿀배340ML|롯데사각사각꿀배380ML,pending
롯데칠성음료,롯데쌕쌕오렌지,30043|90003,음료 > 과채음료 > 과일음료|음료 > 기능성음료 > 한방음료,롯데)쌕쌕오렌지238ML|롯데쌕쌕오렌지240ML,pending
롯데칠성음료,롯데아이시스80,20099|80047,음료 > 기능성음료 > 스포츠음료|음료 > 생수 > 일반생수,롯데아이시스8.0 1L|롯데아이시스8.0 2L,pending
롯데칠성음료,롯데아이시스산림수,20101|50054,음료 > 기능성음료 > 스포츠음료|음료 > 생수 > 일반생수,롯데아이시스산림수2.0L|롯데아이시스산림수500ML,pending
롯데칠성음료,롯데이프로부족할때복숭아,60034|80038,음료 > 과채음료 > 과일음료|음료 > 탄산음료 > 혼합탄산,롯데이프로부족할때복숭아240ML|롯데이프로부족할때복숭아500ML,pending
롯데칠성음료,롯데제주사랑감귤사랑,20089|50039|80059,음료 > 과채음료 > 과일음료|음료 > 과채음료 > 채소음료,롯데제주사랑감귤사랑1.2L|롯데제주사랑감귤사랑1.5L|롯데제주사랑감귤사랑1.8L,pending
롯데칠성음료,롯데칠성사이다,30053|70056|80010,음료 > 과채음료 > 과일음료|음료 > 차음료 > 기타차음료,롯데칠성사이다1.5L|롯데칠성사이다190ML|롯데칠성사이다245ML,pending
롯데칠성음료,롯데칠성사이다로어슈거,20038|60001|70049,음료 > 과채음료 > 과일음료|음료 > 과채음료 > 채소음료|음료 > 탄산음료 > 혼합탄산,롯데칠성사이다로어슈거250ml|롯데칠성사이다로어슈거500ML|롯데칠성사이다로어슈거600ML,pending
롯데칠성음료,롯데칸타타콘트라베이스블랙,10124|60057,음료 > 과채음료 > 과일음료|음료 > 커피음료 > 커피음료,롯데)칸타타콘트라베이스(스위트블랙)500ML|롯데)칸타타콘트라베이스블랙400ML,pending
롯데칠성음료,롯데트레비pet,20023|40072|80028|80039|90017,음료 > 과채음료 > 과일음료|음료 > 기능성음료 > 비타민/에너지음료|음료 > 기능성음료 > 스포츠음료|음료 > 차음료 > 일반차음료|음료 > 탄산음료 > 콜라,롯데트레비레몬(PET)500ML|롯데트레비자몽(PET)500ML|롯데트레비플레인(PET)1.2L|롯데트레비플레인(PET)300ML|롯데트레비플레인(PET)500ML,pending
롯데칠성음료,롯데트로피카나스파클링복숭아,70002|80045,음료 > 커피음료 > 커피음료|음료 > 탄산음료 > 혼합탄산,롯데트로피카나스파클링복숭아355ML|롯데트로피카나스파클링복숭아400ML,pending
롯데칠성음료,롯데트로피카나스파클링사과,20004|20042|90059,음료 > 기능성음료 > 스포츠음료|음료 > 탄산음료 > 혼합탄산,롯데트로피카나스파클링사과1.5L|롯데트로피카나스파클링사과355ML|롯데트로피카나스파클링사과400ML,pending
롯데칠성음료,롯데트로피카나스파클링포도,50011|70075,음료 > 과채음료 > 과일음료|음료 > 과채음료 > 어린이음료,롯데트로피카나스파클링포도1.5L|롯데트로피카나스파클링포도355ML,pending
