l1,l2,manufacturer,title,flavors,volumes,inferred_l1,inferred_l2,identity_company,identity_item,source_titles,pick
생수/음료,기타음료,광동,알찬콩두유,,200ML,생수/음료,기타음료,광동,알찬콩두유,광동)알찬콩두유200ML,광동|알찬콩두유
생수/음료,병·캔 커피·차,롯데칠성음료,레쓰비마일드커피,,240ML,생수/음료,,롯데칠성,레쓰비마일드커피,롯데레쓰비마일드커피240ML,롯데칠성|레쓰비마일드커피
생수/음료,생수,농심,백산수,,330ML,생수/음료,생수,농심,백산수,농심 백산수 330ML,농심|백산수
생수/음료,생수,롯데칠성음료,아이시스8.0,,1L,생수/음료,생수,롯데칠성,아이시스80,롯데아이시스8.0 1L,롯데칠성|아이시스8.0
생수/음료,생수,제주특별자치도개발공사,제주삼다수,,2L,생수/음료,생수,제주특별자치도개발공사,제주삼다수,제주삼다수2L,제주특별|제주삼다수
생수/음료,전통음료,팔도,비락식혜,,1.8L,생수/음료,전통음료,팔도,비락식혜,팔도비락식혜1.8L,팔도|비락식혜
생수/음료,주스·과채,롯데칠성음료,델몬트 100,오렌지,1.8L,생수/음료,,롯데칠성,델몬트100,롯데델몬트오렌지100 1.8L,롯데칠성|델몬트오렌지100
생수/음료,주스·과채,서울우유,아침에주스,사과,210ML,생수/음료|유제품/아이스크림,주스·과채,서울우유,아침에주스,서울우유 아침에주스사과 210ML,서울우유|아침에주스사과
생수/음료,주스·과채,코카콜라음료,미닛메이드,오리지널|오렌지,1.5L,생수/음료,,코카콜라,미닛메이드,미닛메이드오리지널오렌지1.5L,코카콜라음료|미닛메이드오리지널오렌지
생수/음료,탄산·이온·스포츠,동아오츠카,동아포카리스웨트(캔),,340ML,생수/음료,탄산·이온·스포츠,동아오츠카,동아포카리스웨트캔,동아포카리스웨트(캔)340ML,동아오츠카|포카리스웨트
생수/음료,탄산·이온·스포츠,롯데칠성음료,게토레이,,600ML,,탄산·이온·스포츠,롯데칠성,게토레이,롯데게토레이600ML,롯데칠성|게토레이600ML
생수/음료,탄산·이온·스포츠,롯데칠성음료,사이다,,1.5L,생수/음료,탄산·이온·스포츠,롯데칠성,사이다,롯데칠성사이다1.5L,롯데칠성|칠성사이다1.5L
생수/음료,탄산·이온·스포츠,롯데칠성음료,펩시콜라,,1.5L,생수/음료,탄산·이온·스포츠,롯데칠성,펩시콜라,롯데펩시콜라1.5L,롯데칠성|펩시콜라1.5L
생수/음료,탄산·이온·스포츠,코카콜라음료,코카콜라,,1.25L,생수/음료,탄산·이온·스포츠,코카콜라,코카콜라,코카콜라1.25L,코카콜라음료|코카콜라1.25L
생수/음료,탄산·이온·스포츠,코카콜라음료,코카파워에이드MB,,240ML,생수/음료,탄산·이온·스포츠,코카콜라,코카파워에이드mb,코카파워에이드MB240ML,코카콜라|파워에이드
커피/원두/차,RTD 커피·차,롯데칠성음료,칸타타아이스블랙커피 (파,,230ML,생수/음료,병·캔 커피·차,롯데칠성,칸타타아이스블랙커피파,롯데칸타타아이스블랙커피230ML(파),롯데칠성|칸타타아이스블랙커피
커피/원두/차,RTD 커피·차,롯데칠성음료,칸타타프리미엄라떼,,175ML,생수/음료,병·캔 커피·차,롯데칠성,칸타타프리미엄라떼,롯데)칸타타프리미엄라떼175ML,롯데칠성|칸타타프리미엄라떼175ML
커피/원두/차,RTD 커피·차,코카콜라음료,조지아,오리지날,350ML,생수/음료,,코카콜라,조지아,조지아오리지날350ML,코카콜라음료|조지아오리지날350ML
커피/원두/차,커피믹스,네스카페,부드러운모카 50T,,50T,,,네스카페,부드러운모카50t,네스카페 부드러운모카 50T,네스카페|네스카페부드러운모카
커피/원두/차,커피믹스,동서식품,맥심모카골드마일드커피믹스,,360G,커피/원두/차,커피믹스,동서식품,맥심모카골드마일드커피믹스,동서맥심모카골드마일드커피믹스,동서|맥심모카골드마일드커피믹스
커피/원두/차,커피믹스,동서식품,맥심카누마일드아메리카노10T,,16G,,,동서식품,맥심카누마일드아메리카노10t,동서맥심카누마일드아메리카노10T,동서|카누마일드아메리카노10T
커피/원두/차,코코아·기타,동서식품,미떼 핫 10T,오리지날|초코,30G,커피/원두/차,,동서식품,미떼핫10t,동서 미떼 핫초코 오리지날 10T 30G,동서|미떼핫초코오리지날
커피/원두/차,티백·잎차,동서식품,둥굴레차,,60G,커피/원두/차,티백·잎차,동서식품,둥굴레차,동서 둥굴레차60G,동서|둥굴레차
커피/원두/차,티백·잎차,동서식품,현미녹차100T,,150G,커피/원두/차,티백·잎차,동서식품,현미녹차100t,동서)현미녹차100T150G,동서|현미녹차100T
과자/초콜릿/시리얼,스낵·과자,농심,새우깡,,90G,과자/초콜릿/시리얼|가루/조미료/오일,스낵·과자,농심,새우깡,농심새우깡90G,농심|농심새우깡90G
과자/초콜릿/시리얼,스낵·과자,농심,프링글스,오리지날,110G,과자/초콜릿/시리얼,,농심,프링글스,프링글스오리지날110G,농심|프링글스오리지날110G
과자/초콜릿/시리얼,스낵·과자,롯데제과,꼬깔콘고소한맛,,72G,과자/초콜릿/시리얼,,롯데제과,꼬깔콘고소한맛,꼬깔콘고소한맛72G,롯데제과|꼬깔콘고소한맛72G
과자/초콜릿/시리얼,스낵·과자,오리온,포카칩,오리지널,66G,과자/초콜릿/시리얼,스낵·과자,오리온,포카칩,오리온)포카칩오리지널66G,오리온|포카칩오리지널66G
과자/초콜릿/시리얼,시리얼·바,농심켈로그,첵스 컵시리얼,초코,30G,과자/초콜릿/시리얼,시리얼·바,농심켈로그,첵스컵시리얼,농심 켈로그)첵스초코 컵시리얼30G,농심켈로그|첵스초코
과자/초콜릿/시리얼,시리얼·바,농심켈로그,콘푸로스트컵시리얼,,30G,과자/초콜릿/시리얼,시리얼·바,농심켈로그,콘푸로스트컵시리얼,농심켈로그)콘푸로스트컵시리얼30G,농심켈로그|콘푸로스트컵시리얼
과자/초콜릿/시리얼,안주·육포,CJ제일제당,쫄깃한육포,,45G,과자/초콜릿/시리얼|통조림/캔|반찬/간편식/대용식,안주·육포,씨제이,쫄깃한육포,CJ)쫄깃한육포45G,CJ제일제당|쫄깃한육포
